Name,Ingredients,Making,Link,Glass,Garnish,Type,Flavor
The Last Word cocktail,"['1 shot Rutte Dry Gin', '2⁄3 shot Green Chartreuse liqueur', '2⁄3 shot Luxardo Maraschino liqueur', '2⁄3 shot Lime juice (freshly squeezed)', '1⁄3 shot Chilled water (omit if using wet ice)']",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/1133/the-last-word-cocktail,Coupe glass,Lime twist (discarded) and Luxardo Maraschino cherry,,"['Gentle 0 - Boozy 10: 9', 'Sweet 0 - Dry/Sour 10: 7']"
Triple Daiquiri,"['1 shot Havana Club 3 Year Old rum', '1⁄2 shot Havana Club Especial', '1⁄6 shot Cachaça', '1⁄2 shot Lime juice (freshly squeezed)', '2 spoon Powdered sugar (ground in mortar and pestle)', ""4 drop Difford's Daiquiri Bitters""]",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/4809/triple-daiquiri,Coupe glass,Lime wedge,,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 6']"
20th Century Cocktail,"['1 2⁄3 shot Rutte Dry Gin', '1 shot Dutch Cacao white crème de cacao', '1 shot Americano Bianco', '1⁄3 shot Lemon juice (freshly squeezed)']",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/3804/20th-century-cocktail,Coupe glass,Orange zest twist,,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 6']"
21st Century,"['1 2⁄3 shot Patrón Reposado tequila', '1 shot Dutch Cacao white crème de cacao', '1 shot Americano Bianco', '1⁄3 shot Lemon juice (freshly squeezed)']",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/5085/21st-century,Coupe glass,Orange zest twist,,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 7']"
Addington,"['1 shot Martini Extra Dry vermouth', '1 shot Martini Rosso sweet vermouth', '1 shot Thomas Henry Soda Water (chilled)']",STIR first 2 ingredients with ice and strain into chilled glass. TOP with a splash of chilled soda from a bottle/can or just the merest squirt from a chilled soda siphon.,https://www.diffordsguide.com/cocktails/recipe/2135/addington,Coupe glass,Orange zest twist,,"['Gentle 0 - Boozy 10: 2', 'Sweet 0 - Dry/Sour 10: 6']"
Affinity,"[""1 shot Dewar's 12 Year Old Scotch whisky"", '1 shot Vermouth amaro', '1 shot Martini Extra Dry vermouth', '1 dash Angostura Aromatic Bitters']",STIR all ingredients with ice and strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/19/affinity,Coupe glass,Lemon zest twist,,"['Gentle 0 - Boozy 10: 8', 'Sweet 0 - Dry/Sour 10: 6']"
Aged Grappa Espresso Martini,"['1 1⁄2 shot Bepi Tosolini I Legni Rovere grappa', '3⁄4 shot Espresso coffee (freshly made & hot)', '3⁄4 shot Bebo Coffee Liqueur', '1⁄6 shot Demerara/Muscovado/brown sugar syrup (2 sugar:1 water)', '2 drop Saline solution 4:1 (20g sea salt to 80g water)']",SHAKE all ingredients with ice and strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/9199/aged-grappa-espresso-martini,Coupe glass,Float 3 coffee beans,,"['Gentle 0 - Boozy 10: 6', 'Sweet 0 - Dry/Sour 10: 7']"
Aged Honey Daiquiri,"['2 shot Havana Club 7yo rum', '1⁄2 shot Lime juice (freshly squeezed)', '1⁄2 shot Honey syrup (3 honey to 1 water)', '1⁄3 shot Chilled water (omit if using wet ice)']",SHAKE all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/24/aged-honey-daiquiri,Coupe glass,Lime wedge on rim,,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 6']"
Aged Rum Fruit Cup (Difford's Cup No.14),"['5⁄6 shot Havana Club 7yo rum', '5⁄6 shot Orange Curaçao liqueur', '5⁄6 shot Martini Rosso sweet vermouth', '2 dash Angostura Aromatic Bitters', '1 2⁄3 shot Thomas Henry Ginger Ale', '1 2⁄3 shot Cola (e.g. Coca Cola or Pepsi Cola)']",POUR all ingredients into glass. Half fill glass with ice. Add a citrus slice and a couple of mint leaves from garnish before filling to brim with ice. Finish with rest of garnish.,https://www.diffordsguide.com/cocktails/recipe/4217/aged-rum-fruit-cup-diffords-cup-no14,Collins glass,"Lemon, orange & strawberry slices, mint sprig & borage",,"['Gentle 0 - Boozy 10: 6', 'Sweet 0 - Dry/Sour 10: 6']"
Air Mail,"['1 shot Havana Club 3 Year Old rum', '1⁄2 shot Lime juice (freshly squeezed)', '1⁄2 shot Honey syrup (3 honey to 1 water)', '1 1⁄2 shot Brut champagne or sparkling wine']",SHAKE first 3 ingredients with ice and strain into an ice-filled glass (preferably a column of ice). TOP with champagne.,https://www.diffordsguide.com/cocktails/recipe/27/air-mail,Highball (max 10oz/300ml),Tip of a mint sprig or serve naked,,"['Gentle 0 - Boozy 10: 6', 'Sweet 0 - Dry/Sour 10: 7']"
