Name,Ingredients,Making,Link,Type
Brown Death,"['1/2 oz. Rumple Minze', '1/2 oz. Jagermeister', '1/2 oz. 151 Proof Rum']",Mix in a shot glass with the 151 on top.,https://www.barnonedrinks.com/drinks/b/brown-death-9725.html,Shooters
Brown Noser,"['2/3 oz. Creme de Cacao dark', '1/3 oz. Creme de Menthe green']",Pour into a shot glass and serve.,https://www.barnonedrinks.com/drinks/b/brown-noser-8010.html,Shooters
Bubble Gum Shooter,"['1 oz. 99 Bananas Schnapps', '1 oz. Vodka', '1 oz. Peach Schnapps', '2 oz. Orange Juice', '1 oz. Cranberry Juice']","First shake the spirits over ice, then add the fruit juices and shake again. Strain into shot glasses.",https://www.barnonedrinks.com/drinks/b/bubble-gum-shooter-951.html,Shooters
Bubblegum,"['1/4 oz. Tia Maria', ""1/4 oz. Banana Liqueur (Preferably Bols')"", ""1/4 oz. Blue Curacao (Preferably Bols')"", '1/4 oz. Baileys Irish Cream']",Layer in a shot glass (Tia Maria at the bottom) and shoot.,https://www.barnonedrinks.com/drinks/b/bubblegum-6384.html,Shooters
Buckcherry,"['1/3 part(s) Whiskey', '1/3 part(s) Vodka', '1/3 part(s) Tequila']",Mix and shoot fast. This is a hardcore drink named after the all-night partying drink 'till I die rock band Buckcherry. This shot is not for the once a month drinker that would rather watch movies on the weekend. Only those who can party like rockstars should try this because it kicks your ass all the way down!,https://www.barnonedrinks.com/drinks/b/buckcherry-8025.html,Shooters
Buckshot #1,"['1/2 oz. Rum', '1/2 oz. Root Beer']",Mix and shoot.,https://www.barnonedrinks.com/drinks/b/buckshot-1-962.html,Shooters
Buckshot #2,"['1/2 oz. Rum', '1/2 oz. Root Beer Schnapps']",Mix and shoot.,https://www.barnonedrinks.com/drinks/b/buckshot-2-963.html,Shooters
BuckWheat,"['1/2 oz. Amaretto', '1/4 oz. Champagne (Chilled)', '1/4 oz. Stout (Chilled)']","Pour stout into a shot glass, layer champagne and top off with amaretto.",https://www.barnonedrinks.com/drinks/b/buckwheat-964.html,Shooters
Buffalo Ball Sweat #1,"['1 oz. Southern Comfort', '1/2 oz. Tabasco Sauce']",Shake with ice and strain into a shot glass.,https://www.barnonedrinks.com/drinks/b/buffalo-ball-sweat-1-5640.html,Shooters
Buffalo Ball Sweat #2,"['1/2 oz. Bourbon Whiskey (Preferably Kentucky Bourbon)', ""1/2 oz. Jack Daniel's Whiskey"", '5 drop(s) Tabasco Sauce']",Mix in a shot glass and shoot.,https://www.barnonedrinks.com/drinks/b/buffalo-ball-sweat-2-6054.html,Shooters
Buffalo Fart,"['1 oz. Bourbon Whiskey', '1/4 oz. Tabasco Sauce', '1 splash(es) Half and Half Cream']",Mix in a shot glass. The cream should curdle up instantly. Shoot.,https://www.barnonedrinks.com/drinks/b/buffalo-fart-8516.html,Shooters
Buffalo Sweat,"['3/4 oz. Tabasco Sauce', '3/4 oz. Bacardi 151 Proof Rum']",Mix both ingredients in shot glass. This is a usual rite of passage drink for someone turning 21. If you want to make it a lowball its typical to have the same ingredients and add 1.5 oz bar rag juice ) This is what we give customers who ask for something 'different',https://www.barnonedrinks.com/drinks/b/buffalo-sweat-8293.html,Shooters
"Buffalo, Sweat and Tears","['1 oz. Buffalo Trace Bourbon', '1/5 oz. Tabasco Sauce']",Stir in a shot glass.,https://www.barnonedrinks.com/drinks/b/buffalo-sweat-and-tears-14035.html,Shooters
Bug Shit,"['2 oz. Tanqueray Gin', '2 oz. Dr Pepper']",Combine over ice cubes in a collins glass.,https://www.barnonedrinks.com/drinks/b/bug-shit-7615.html,Shooters
